"Sapflow #",D_cm,r_cm,wa_cm2,sw_cm2,wa_m2,sw_m2,AsAw
1,18.46197,9.23099,267.69861,53.59607,0.02677,0.00536,0.200224131490474
2,20.56282,10.28141,332.08952,68.12268,0.03321,0.00681,0.205058717253839
3,22.91831,11.45916,412.52961,86.71775,0.04125,0.00867,0.210181818181818
4,12.44592,6.22296,121.65883,22.28591,0.01217,0.00223,0.183237469186524
5,19.16226,9.58113,288.39194,58.22565,0.02884,0.00582,0.201803051317614
6,22.91831,11.45916,412.52961,86.71775,0.04125,0.00867,0.210181818181818
7,15.91549,7.95775,198.94368,38.52016,0.01989,0.00385,0.193564605329311
8,15.59718,7.79859,191.06551,36.82669,0.01911,0.00368,0.192569335426478
9,19.22592,9.61296,290.31135,58.65701,0.02903,0.00587,0.202204615914571
10,16.48845,8.24423,213.52545,41.67444,0.02135,0.00417,0.195316159250585
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,16.55211,8.27606,215.17748,42.03336,0.02152,0.0042,0.195167286245353
13,23.80958,11.90479,445.23914,94.40194,0.04452,0.00944,0.21203953279425
14,18.20733,9.10366,260.36475,51.96482,0.02604,0.0052,0.199692780337942
15,18.14366,9.07183,258.54721,51.56134,0.02585,0.00516,0.199613152804642
16,21.23127,10.61563,354.03142,73.14926,0.0354,0.00731,0.206497175141243
17,19.73521,9.86761,305.8958,62.17113,0.03059,0.00622,0.203334423014057
